* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 16, Pro Tools Audio Bridge 16, 2, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2024 11:18:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test HR
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
270.629903, 108.012, 98.7429
270.996114, 107.994, 98.5250
271.362325, 107.980, 98.3214
271.728536, 107.969, 98.1146
272.094747, 107.959, 97.8923
272.460958, 107.947, 97.6580
272.827169, 107.930, 97.4274
273.193380, 107.910, 97.2163
273.559591, 107.889, 97.0273
273.925802, 107.869, 96.8475
274.292013, 107.850, 96.6592
274.658224, 107.831, 96.4526
275.024435, 107.811, 96.2328
275.390646, 107.789, 96.0140
275.756857, 107.768, 95.8072
276.123068, 107.750, 95.6109
276.489279, 107.736, 95.4126
276.855490, 107.723, 95.1996
277.221701, 107.709, 94.9698
277.587912, 107.691, 94.7354
277.954123, 107.668, 94.5144
278.320334, 107.642, 94.3183
278.686544, 107.617, 94.1436
279.052755, 107.595, 93.9728
279.418966, 107.576, 93.7861
279.785177, 107.557, 93.5734
280.151388, 107.537, 93.3404
280.517599, 107.515, 93.1039
280.883810, 107.492, 92.8804
281.250021, 107.469, 92.6756
281.616232, 107.449, 92.4834
281.982443, 107.429, 92.2924
282.348654, 107.409, 92.0961
282.714865, 107.385, 91.8980
283.081076, 107.358, 91.7080
283.447287, 107.329, 91.5331
283.813498, 107.299, 91.3694
284.179709, 107.272, 91.2034
284.545920, 107.247, 91.0202
284.912131, 107.223, 90.8140
285.278342, 107.197, 90.5924
285.644553, 107.170, 90.3716
286.010764, 107.143, 90.1666
286.376975, 107.117, 89.9825
286.743186, 107.092, 89.8138
287.109397, 107.070, 89.6496
287.475608, 107.048, 89.4807
287.841819, 107.025, 89.3035
288.208030, 107.000, 89.1194
288.574241, 106.972, 88.9323
288.940452, 106.942, 88.7458
289.306663, 106.911, 88.5637
289.672873, 106.879, 88.3881
290.039084, 106.849, 88.2186
290.405295, 106.821, 88.0501
290.771506, 106.795, 87.8748
291.137717, 106.770, 87.6873
291.503928, 106.744, 87.4902
291.870139, 106.716, 87.2949
292.236350, 106.685, 87.1157
292.602561, 106.655, 86.9592
292.968772, 106.626, 86.8177
293.334983, 106.601, 86.6729
293.701194, 106.576, 86.5080
294.067405, 106.550, 86.3205
294.433616, 106.520, 86.1253
294.799827, 106.486, 85.9448
295.166038, 106.450, 85.7931
295.532249, 106.417, 85.6660
295.898460, 106.388, 85.5446
296.264671, 106.360, 85.4097
296.630882, 106.332, 85.2563
296.997093, 106.300, 85.0959
297.363304, 106.266, 84.9468
297.729515, 106.230, 84.8188
298.095726, 106.195, 84.7059
298.461937, 106.163, 84.5918
298.828148, 106.132, 84.4627
299.194359, 106.100, 84.3171
299.560570, 106.066, 84.1652
299.926781, 106.030, 84.0196
300.292992, 105.994, 83.8849
300.659203, 105.959, 83.7557
301.025413, 105.927, 83.6222
301.391624, 105.895, 83.4783
301.757835, 105.863, 83.3268
302.124046, 105.828, 83.1772
302.490257, 105.792, 83.0404
302.856468, 105.754, 82.9229
303.222679, 105.717, 82.8249
303.588890, 105.681, 82.7399
303.955101, 105.647, 82.6574
304.321312, 105.614, 82.5665
304.687523, 105.580, 82.4611
305.053734, 105.544, 82.3442
305.419945, 105.506, 82.2279
305.786156, 105.465, 82.1267
306.152367, 105.424, 82.0490
306.518578, 105.385, 81.9917
306.884789, 105.349, 81.9431
307.251000, 105.315, 81.8910
307.617211, 105.281, 81.8318
307.983422, 105.245, 81.7710
308.349633, 105.208, 81.7162
308.715844, 105.169, 81.6690
309.082055, 105.129, 81.6233
309.448266, 105.089, 81.5703
309.814477, 105.048, 81.5081
310.180688, 105.004, 81.4439
310.546899, 104.959, 81.3901
310.913110, 104.914, 81.3545
311.279321, 104.872, 81.3344
311.645532, 104.835, 81.3178
312.011743, 104.801, 81.2916
312.377953, 104.768, 81.2495
312.744164, 104.733, 81.1966
313.110375, 104.695, 81.1472
313.476586, 104.653, 81.1182
313.842797, 104.610, 81.1215
314.209008, 104.568, 81.1566
314.575219, 104.531, 81.2090
314.941430, 104.497, 81.2557
315.307641, 104.466, 81.2773
315.673852, 104.434, 81.2712
316.040063, 104.397, 81.2551
