* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 16, Pro Tools Audio Bridge 16, 2, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2024 11:14:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test Real Dec 10
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
266.601583, 103.223, -106.5378
266.967794, 103.177, -107.0090
267.334004, 103.127, -107.3841
267.700215, 103.082, -107.6572
268.066426, 103.043, -107.8671
268.432637, 103.005, -108.0627
268.798848, 102.954, -108.2614
269.165059, 102.881, -108.4229
269.531270, 102.782, -108.4609
269.897481, 102.671, -108.2898
270.263692, 102.574, -107.8915
270.629903, 102.517, -107.3629
270.996114, 102.518, -106.8991
271.362325, 102.568, -106.7016
271.728536, 102.638, -106.8647
272.094747, 102.698, -107.3233
272.460958, 102.727, -107.8905
272.827169, 102.724, -108.3568
273.193380, 102.708, -108.5994
273.559591, 102.701, -108.6482
273.925802, 102.713, -108.6617
274.292013, 102.735, -108.8196
274.658224, 102.740, -109.2023
275.024435, 102.708, -109.7430
275.390646, 102.631, -110.2741
275.756857, 102.527, -110.6253
276.123068, 102.424, -110.7162
276.489279, 102.350, -110.5903
276.855490, 102.316, -110.3677
277.221701, 102.319, -110.1581
277.587912, 102.345, -110.0079
277.954123, 102.385, -109.9191
278.320334, 102.432, -109.9031
278.686544, 102.483, -110.0054
279.052755, 102.527, -110.2709
279.418966, 102.548, -110.6831
279.785177, 102.538, -111.1393
280.151388, 102.505, -111.4937
280.517599, 102.473, -111.6523
280.883810, 102.470, -111.6564
281.250021, 102.511, -111.6808
281.616232, 102.584, -111.9278
281.982443, 102.655, -112.4921
282.348654, 102.687, -113.3027
282.714865, 102.659, -114.1679
283.081076, 102.575, -114.8763
283.447287, 102.458, -115.2926
283.813498, 102.339, -115.4084
284.179709, 102.243, -115.3275
284.545920, 102.182, -115.1989
284.912131, 102.151, -115.1465
285.278342, 102.142, -115.2350
285.644553, 102.142, -115.4750
286.010764, 102.137, -115.8391
286.376975, 102.119, -116.2722
286.743186, 102.079, -116.6973
287.109397, 102.018, -117.0311
287.475608, 101.944, -117.2128
287.841819, 101.871, -117.2328
288.208030, 101.812, -117.1414
288.574241, 101.775, -117.0297
288.940452, 101.759, -116.9893
289.306663, 101.758, -117.0771
289.672873, 101.760, -117.3021
