* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 2-B, Pro Tools Audio Bridge 2-B, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2024 1:23:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test NAM Dec 11
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
160.766613, 108.385, -19.1552
161.132824, 108.357, -19.7510
161.499035, 108.328, -20.3455
161.865246, 108.298, -20.9376
162.231457, 108.266, -21.5244
162.597668, 108.233, -22.1018
162.963879, 108.199, -22.6684
163.330090, 108.165, -23.2258
163.696301, 108.131, -23.7775
164.062512, 108.097, -24.3261
164.428723, 108.062, -24.8720
164.794934, 108.028, -25.4136
165.161145, 107.993, -25.9492
165.527356, 107.959, -26.4787
165.893567, 107.925, -27.0022
166.259778, 107.892, -27.5184
166.625988, 107.858, -28.0240
166.992199, 107.826, -28.5148
167.358410, 107.794, -28.9898
167.724621, 107.763, -29.4526
168.090832, 107.734, -29.9102
168.457043, 107.705, -30.3682
168.823254, 107.675, -30.8274
169.189465, 107.643, -31.2828
169.555676, 107.610, -31.7276
169.921887, 107.576, -32.1576
170.288098, 107.544, -32.5735
170.654309, 107.512, -32.9797
171.020520, 107.482, -33.3801
171.386731, 107.453, -33.7758
171.752942, 107.423, -34.1652
172.119153, 107.394, -34.5466
172.485364, 107.364, -34.9195
172.851575, 107.335, -35.2850
173.217786, 107.307, -35.6443
173.583997, 107.281, -35.9985
173.950208, 107.256, -36.3495
174.316419, 107.234, -36.7021
174.682630, 107.215, -37.0621
175.048841, 107.197, -37.4330
175.415052, 107.179, -37.8113
175.781263, 107.161, -38.1863
176.147474, 107.141, -38.5446
176.513685, 107.123, -38.8781
176.879896, 107.106, -39.1885
177.246107, 107.093, -39.4863
177.612318, 107.082, -39.7831
177.978528, 107.071, -40.0850
178.344739, 107.060, -40.3912
178.710950, 107.048, -40.6985
179.077161, 107.036, -41.0080
179.443372, 107.024, -41.3264
179.809583, 107.014, -41.6626
180.175794, 107.004, -42.0207
180.542005, 106.993, -42.3963
180.908216, 106.981, -42.7784
181.274427, 106.968, -43.1558
181.640638, 106.956, -43.5222
182.006849, 106.945, -43.8774
